old_path,new_path,title,category,subcategory,kind,status,confidence
advanced-features/.BR.md,30-io-file/file-model/spec.md,.BR,30-io-file,30-io-file/file-model,statement,pruned-2b,high
advanced-features/1.000000E+307.md,90-reference/limits-constants/1.000000E+307.md,1.000000E+307,90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/18_Quintillion.md,90-reference/limits-constants/18_Quintillion.md,18_Quintillion,90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/2,147,483,648.md","90-reference/limits-constants/2,147,483,648.md","2,147,483,648",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/32,000.md","90-reference/limits-constants/32,000.md","32,000",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/32,767.md","90-reference/limits-constants/32,767.md","32,767",90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/4.18J.md,90-reference/limits-constants/4.18J.md,4.18J,90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/4.3.md,90-reference/limits-constants/4.3.md,4.3,90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/4.30.md,90-reference/limits-constants/4.30.md,4.30,90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/4.31.md,90-reference/limits-constants/4.31.md,4.31,90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/538,976,288.md","90-reference/limits-constants/538,976,288.md","538,976,288",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/8,388,607.md","90-reference/limits-constants/8,388,607.md","8,388,607",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/9,999,999.md","90-reference/limits-constants/9,999,999.md","9,999,999",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/9,999.md","90-reference/limits-constants/9,999.md","9,999",90-reference,90-reference/limits-constants,constant,ok,med
"advanced-features/99,999,999.md","90-reference/limits-constants/99,999,999.md","99,999,999",90-reference,90-reference/limits-constants,constant,ok,med
advanced-features/@Login_Name.md,00-configuration/environment/spec.md,@Login_Name,00-configuration,00-configuration/environment,config-directive,pruned-2b,med
advanced-features/Advanced_Computer_Services_LLC.md,90-reference/glossary-stubs/Advanced_Computer_Services_LLC.md,Advanced_Computer_Services_LLC,90-reference,90-reference/glossary-stubs,concept,ok,med
advanced-features/APPLICATION_NAME.md,00-configuration/config-directives/APPLICATION_NAME.md,APPLICATION_NAME,00-configuration,00-configuration/config-directives,config-directive,pruned-2b,low
advanced-features/Backward_Compatibility.md,00-configuration/platform/Backward_Compatibility.md,Backward_Compatibility,00-configuration,00-configuration/platform,config-directive,ok,med
advanced-features/BASEYEAR.md,00-configuration/config-directives/BASEYEAR.md,BASEYEAR,00-configuration,00-configuration/config-directives,config-directive,pruned-2b,low
advanced-features/BAUD.md,30-io-file/serial-comm/spec.md,BAUD,30-io-file,30-io-file/serial-comm,config-directive,pruned-2b,high
advanced-features/BR32.EXE.md,00-configuration/platform/BR32.EXE.md,BR32.EXE,00-configuration,00-configuration/platform,config-directive,pruned-2b,med
advanced-features/Br_in_a_browser.md,00-configuration/platform/spec.md,Br_in_a_browser,00-configuration,00-configuration/platform,config-directive,pruned-2b,med
advanced-features/BR_Parms.txt.md,00-configuration/client-server/BR_Parms.txt.md,BR_Parms.txt,00-configuration,00-configuration/client-server,config-directive,pruned-2b,low
advanced-features/BR_Reference.md,90-reference/glossary-stubs/BR_Reference.md,BR_Reference,90-reference,90-reference/glossary-stubs,concept,ok,med
advanced-features/BR_Service_was_successfully_started.md,00-configuration/client-server/BR_Service_was_successfully_started.md,BR_Service_was_successfully_started,00-configuration,00-configuration/client-server,config-directive,pruned-2b,low
